"Activity Name","Activity Number","Default Days of Week, Start Time, and Duration"
"Swim Colours 7 ? Aqua","75712","Mon, 6:15 PM, 45m"
"Swim Colours 7 ? Aqua","75713","Tue, 5:00 PM, 45m"
"Swim Colours 7 ? Aqua","75714","Thu, 6:00 PM, 45m"
"Swim Colours 7 ? Aqua","75715","Sat, 9:45 AM, 45m"
"Swim Colours 7 ? Aqua","75716","Sun, 9:00 AM, 45m"
"Swim Colours 7 ? Aqua","75717","Sun, 10:45 AM, 45m"
"Swim Colours 7 ? Aqua","75718","Sun, 6:15 PM, 45m"
"Swim Colours 7 ? Aqua","75719","Sun, 7:15 PM, 45m"
"Swim Colours 7 ? Aqua (low ratio)","75720","Thu, 6:45 PM, 45m"
"Swim Colours 7 ? Aqua (low ratio)","75721","Sat, 9:15 AM, 45m"
"Swim Colours 7 ? Aqua (low ratio)","75722","Sun, 11:15 AM, 45m"
"Swim Colours 2 ? Coral","75729","Mon, 4:30 PM, 30m"
"Swim Colours 2 ? Coral","75730","Mon, 6:00 PM, 30m"
"Swim Colours 2 ? Coral","75731","Tue, 4:15 PM, 30m"
"Swim Colours 2 ? Coral","75732","Tue, 4:45 PM, 30m"
"Swim Colours 2 ? Coral","75733","Tue, 7:30 PM, 30m"
"Swim Colours 2 ? Coral","75734","Thu, 5:00 PM, 30m"
"Swim Colours 2 ? Coral","75735","Thu, 5:30 PM, 30m"
"Swim Colours 2 ? Coral","75736","Thu, 7:30 PM, 30m"
"Swim Colours 2 ? Coral","75737","Sat, 8:15 AM, 30m"
"Swim Colours 2 ? Coral","75738","Sat, 9:15 AM, 30m"
"Swim Colours 2 ? Coral","75739","Sat, 10:45 AM, 30m"
"Swim Colours 2 ? Coral","75740","Sat, 8:45 AM, 30m"
"Swim Colours 2 ? Coral","75741","Sun, 8:30 AM, 30m"
"Swim Colours 2 ? Coral","75742","Sun, 9:00 AM, 30m"
"Swim Colours 2 ? Coral","75743","Sun, 9:45 AM, 30m"
"Swim Colours 2 ? Coral","75744","Sun, 4:00 PM, 30m"
"Swim Colours 2 ? Coral","75745","Sun, 4:30 PM, 30m"
"Swim Colours 2 ? Coral","75746","Sun, 5:45 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76248","Mon, 5:00 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76249","Mon, 5:45 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76250","Tue, 4:45 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76251","Tue, 5:45 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76252","Thu, 4:45 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76253","Thu, 6:45 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76255","Sat, 8:15 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76256","Sat, 10:30 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76257","Sun, 8:30 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76259","Sun, 9:30 AM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76261","Sun, 4:00 PM, 30m"
"Swim Creatures 1 ? Mikinàk | Turtle","76274","Sun, 4:30 PM, 30m"
